BBG Ticker,Name,index,fsym id
ADYEN NA Equity,Adyen NV,SX5E,B8DGF3-R
ENEL IM Equity,Enel SpA,SX5E,BFTG53-R
DTE GR Equity,Deutsche Telekom AG,SX5E,DMXKJB-R
DAI GR Equity,Daimler AG,SX5E,DRBPYY-R
PRX NA Equity,Prosus NV,SX5E,F39WDV-R
SIE GR Equity,Siemens AG,SX5E,F82JBR-R
BAYN GR Equity,Bayer AG,SX5E,FVCVC5-R
LIN GR Equity,Linde PLC,SX5E,GM21N6-R
CS FP Equity,AXA SA,SX5E,GM702V-R
ALV GR Equity,Allianz SE,SX5E,GQH62T-R
MC FP Equity,LVMH Moet Hennessy Louis Vuitton SE,SX5E,GQH86W-R
BNP FP Equity,BNP Paribas SA,SX5E,GSRMDX-R
AI FP Equity,Air Liquide SA,SX5E,HXYRFX-R
ASML NA Equity,ASML Holding NV,SX5E,JWGWTR-R
VIV FP Equity,Vivendi SE,SX5E,LY205L-R
INGA NA Equity,ING Groep NV,SX5E,LY6KWW-R
SAN FP Equity,Sanofi,SX5E,M78XGX-R
ABI BB Equity,Anheuser-Busch InBev SA/NV,SX5E,MH7BG5-R
RI FP Equity,Pernod Ricard SA,SX5E,MQ1RPL-R
SAF FP Equity,Safran SA,SX5E,NGS8GV-R
FP FP Equity,TOTAL SE,SX5E,NL9BH6-R
ISP IM Equity,Intesa Sanpaolo SpA,SX5E,NYHV8B-R
KER FP Equity,Kering SA,SX5E,P45SVG-R
IFX GR Equity,Infineon Technologies AG,SX5E,P59ZZH-R
AIR FP Equity,Airbus SE,SX5E,PKYMY1-R
SU FP Equity,Schneider Electric SE,SX5E,PVX0ZC-R
SAP GR Equity,SAP SE,SX5E,Q53RYJ-R
MUV2 GR Equity,Munich Re,SX5E,Q8CXWG-R
VOW3 GR Equity,Volkswagen AG,SX5E,QBTQFL-R
ADS GR Equity,adidas AG,SX5E,QDYYRR-R
ENGI FP Equity,Engie SA,SX5E,QKJP1R-R
EL FP Equity,EssilorLuxottica SA,SX5E,R6Y499-R
DG FP Equity,Vinci SA,SX5E,R71R5P-R
ENI IM Equity,Eni SpA,SX5E,R9B29P-R
BMW GR Equity,Bayerische Motoren Werke AG,SX5E,RT6MQY-R
DB1 GR Equity,Deutsche Boerse AG,SX5E,RT6W65-R
BN FP Equity,Danone SA,SX5E,SC37CB-R
BAS GR Equity,BASF SE,SX5E,SKYG3H-R
OR FP Equity,L'Oreal SA,SX5E,SQG6NN-R
DPW GR Equity,Deutsche Post AG,SX5E,V3R2XZ-R
AD NA Equity,Koninklijke Ahold Delhaize NV,SX5E,VJ7HTK-R
KNEBV FH Equity,Kone Oyj,SX5E,VWH0HM-R
PHIA NA Equity,Koninklijke Philips NV,SX5E,WGRN6D-R
VNA GR Equity,Vonovia SE,SX5E,XPYPGM-R
